Density - Country - Population - Area
13.044682337992375 - Chad - 16425864 - 1259200;

12.834251909858915 - Turkmenistan - 6031200 - 469930;

10.775427859318748 - Bolivia - 11673021 - 1083300;

7.752683874281678 - Central African Republic - 4829767 - 622980;

4.15044949639908 - Canada - 37742154 - 9093510;

4.149466236126551 - Botswana - 2351627 - 566730;

3.3193033336370616 - Australia - 25499884 - 7682300;

0.038461538461538464 - Monaco 39 242 - 1 - 26;
